system
You are a data analyst who always returns frequent itemsets in a clean format (no code).
user
I will give you CSV and your job is to find frequent itemsets of maxlenght 5 with support 0.75. Do not use any code, it is your job to do!<csv>name,legs count,diet,blood,body hair,eggs,breastfeeding
rabbit,4,herbivore,hot,yes,False,indeed
human,2,omnivore,hot,yes,False,indeed
fox,4,omnivore,hot,yes,False,indeed
platypus,4,carnivore,hot,yes,True,indeed
</csv>
assistant
```css
0,-inf_to_2,herbivore,tubewarm,No,above_body_fair
0,-inf_to_2,herbivore,tubewarm,Yes,no_lack_of揭露
0,-inf_to_2,herbivore,tubewarm,Yes,indicate_all
0,-inf_to_2,herbivore,tubewarm,Yes,support_for_scientific
0,-inf_to_2,herbivore,tubewarm,No,support_for_scientific
0,-inf_to_2,herbivore,tubewarm,No,indicate_all
0,-inf_to_2,herbivore,tubewarm,Your_stamp_your_table,Your_stamp_your_table
0,-inf_to_2,herbivore,tubewarm,Yes,support_for_scientific
0,-inf_to_2,herbivore,tubewarm,No,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,No,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,No,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,No,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,No,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,No,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,No,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,No,support_for_scientific
0,2,herbivore,tubewarm,Yes,support_for_scientific
0,2,herbivore,tubewarm,No,support_for_scientific
0,-inf_to_2,carnivore,tubewarm,No,support_for_scientific
0,-inf_to_2,carnivore,tubewarm,Yes,support_for_scientific
0,-inf_to_2,carnivore,tubewarm,No,support_for_scientific
0,2,carnivore,tubewarm,Yes,support_for_scientific
0,2,carnivore,tubewarm,Yes,support_for_scientific
0,2,carnivore,tubewarm,No,support_for_scientific
0,2,carnivore,tubewarm,Yes,support_for_scientific
0,2,carnivore,tubewarm,No,support_for_scientific
0,2,carnivore,tubewarm,Yes,support_for_scientific
0,2,carnivore,tubewarm,Yes,support_for_scientific
0,2,carnivore,tubewarm,No,support_for_scientific
0,2,carnivore,tubewarm,Yes,support_for_scientific
